"customer_id","city","province","order_id"
14004,"Jakarta Selatan","DKI Jakarta","1703458"
17220,"Jakarta Selatan","DKI Jakarta","1706815"
16518,"Jakarta Utara","DKI Jakarta","1710718"
16364,"Jakarta Barat","DKI Jakarta","1683592"
15696,"Jakarta Timur","DKI Jakarta","1702573"
12748,"Jakarta Utara","DKI Jakarta","1672906"
16791,"Jakarta Barat","DKI Jakarta","1711399"
13069,"Surakarta","Jawa Tengah","1695367"
16873,"Jakarta Barat","DKI Jakarta","1741846"
14723,"Tangerang","Banten","1720189"
13814,"Denpasar","Bali","1683583"
17841,"Jakarta Utara","DKI Jakarta","1693309"
13895,"Tangerang","Banten","1708381"
16999,"Jakarta Utara","DKI Jakarta","1705093"
17422,"Jakarta Selatan","DKI Jakarta","1734790"
14552,"Tangerang","Banten","1678960"
13397,"Surabaya","Jawa Timur","1668715"
14096,"Surakarta","Jawa Tengah","1714324"
15291,"Jakarta Pusat","DKI Jakarta","1669411"
13880,"Bogor","Jawa Barat","1731961"
15786,"Jakarta Selatan","DKI Jakarta","1690672"
14738,"Bandung","Jawa Barat","1709671"
17651,"Jakarta Pusat","DKI Jakarta","1670806"
12930,"Yogyakarta","Yogyakarta","1703659"
14110,"Bogor","Jawa Barat","1698916"
15738,"Jakarta Selatan","DKI Jakarta","1668391"
17450,"Bogor","Jawa Barat","1702162"
16360,"Bandung","Jawa Barat","1721629"
15856,"Jakarta Utara","DKI Jakarta","1718260"
15028,"Jakarta Selatan","DKI Jakarta","1719550"
16316,"Jakarta Timur","DKI Jakarta","1675705"
13689,"Malang","Jawa Timur","1710385"
13979,"Jakarta Pusat","DKI Jakarta","1705585"
13621,"Jakarta Selatan","DKI Jakarta","1689703"
15719,"Jakarta Barat","DKI Jakarta","1724590"
13521,"Bandung","Jawa Barat","1741561"
16940,"Jakarta Timur","DKI Jakarta","1715014"
14360,"Yogyakarta","Yogyakarta","1697179"
17096,"Jakarta Selatan","DKI Jakarta","1735633"
17757,"Tangerang","Banten","1714633"
